"";"names";"address"
"1";"Фотогалерея им. В. А. Собровина";"обл Белгородская,г Белгород,ул Попова,д 69"
"2";"Галерея «Открытый город»";"обл Челябинская,г Челябинск,ул Кирова,д 165"
"3";"Музей фотографии «Искра»";"обл Тверская,г Тверь,ул Новоторжская,д 12а"
"4";"Музей радужки глаза";"обл Владимирская,г Владимир,ул Большая Московская,д 16"
"5";"Фотографический музей «Дом Метенкова»";"обл Свердловская,г Екатеринбург,ул Карла Либкнехта,д 36"
"6";"Русский музей фотографии";"обл Нижегородская,г Нижний Новгород,ул Пискунова,д 9А"
"7";"Галерея классической фотографии";"г Москва,г Москва,наб Саввинская,д 23"
"8";"Мемориальный дом фотохудожника Н. П. Андреева";"обл Московская,г Серпухов,ул 1-я Московская,д 39"
"9";"Государственный музейно-выставочный центр РОСФОТО";"г Санкт-Петербург,г Санкт-Петербург,ул Большая Морская,д 35"
"10";"Галерея «Люмьер»";"г Москва,г Москва,ул Большая Полянка,д 61"
